locale,key,en,value
es,wellness.tools.symptom,"Symptom & Pain Tracker (exportable report)","Symptom & Pain Tracker (exportable report)"
es,wellness.tools.sleep,"Sleep & Energy Tracker (legal/medical summary)","Sleep & Energy Tracker (legal/medical summary)"
es,wellness.tools.selfcare,"Accessible Self‑Care Library","Accessible Self‑Care Library"
es,wellness.tools.work_balance,"Wellness + Work Balance AI","Wellness + Work Balance AI"
es,wellness.tools.grief,"Grief + Identity Support Hub","Grief + Identity Support Hub"
es,wellness.tools.adaptive_meditation,"Adaptive Meditation & Relaxation","Adaptive Meditation & Relaxation"
es,wellness.tools.rehab_games,"Virtual Rehab Games (gentle movement)","Virtual Rehab Games (gentle movement)"
es,wellness.tools.daily_planner,"Adaptive Daily Planner","Adaptive Daily Planner"
es,wellness.rehab.subtitle,"Fun, accessible mini-games to encourage gentle movement and physio-style exercises. Always adapt to comfort and stop if pain increases.","Fun, accessible mini-games to encourage gentle movement and physio-style exercises. Always adapt to comfort and stop if pain increases."
es,wellness.rehab.title,"Virtual Rehab Games","Virtual Rehab Games"
es,wellness.achievements.subtitle,"Earn badges as you build healthy routines.","Earn badges as you build healthy routines."
es,wellness.achievements.title,"Achievements","Achievements"
es,resources.intro,"Here you’ll find practical tools, guides, and supports — everything from benefits applications to emergency contacts. This hub is designed to save you time and help you advocate for yourself effectively.","Here you’ll find practical tools, guides, and supports — everything from benefits applications to emergency contacts. This hub is designed to save you time and help you advocate for yourself effectively."
es,resources.filters.all,"All","All"
es,resources.filters.canada,"Canada","Canada"
es,resources.filters.work_financial,"Work & Financial","Work & Financial"
es,resources.filters.tools_downloads,"Tools & Downloads","Tools & Downloads"
es,resources.filters.emergency_crisis,"Emergency & Crisis","Emergency & Crisis"
es,header.favorites,"Favs","Favs"
es,advocacy.tools.self_coach,"Self-Advocacy Coach (micro-lessons)","Self-Advocacy Coach (micro-lessons)"
es,advocacy.tools.ai_translator,"AI Advocate Translator","AI Advocate Translator"
es,advocacy.tools.collective,"Collective Legal Action Hub","Collective Legal Action Hub"
es,advocacy.tools.policy_simple,"Policy Made Simple","Policy Made Simple"
es,advocacy.tools.ai_gov,"AI Government Navigator","AI Government Navigator"
es,advocacy.tools.ai_case,"AI Case Interpreter","AI Case Interpreter"
es,settings.language.spanish,"Español","Español"
es,justiceService.header,"Empowr — Local Advocacy Snapshot","Empowr — Local Advocacy Snapshot"
es,justiceService.evidenceLine,"Evidence Locker: {{noteCount}} notes, {{docCount}} file(s)","Evidence Locker: {{noteCount}} notes, {{docCount}} file(s)"
es,justiceService.resourcesViewed,"Resources viewed this session: ~{{resourcesCount}}","Resources viewed this session: ~{{resourcesCount}}"
es,justiceService.signals,"Signals:","Signals:"
es,justiceService.signal1,"- Increase access to plain-language decisions","- Increase access to plain-language decisions"
es,justiceService.signal2,"- Add navigators for tight appeal windows","- Add navigators for tight appeal windows"
es,justiceService.signal3,"- Expand accommodations for sustained earnings","- Expand accommodations for sustained earnings"
es,justiceService.generatedAnnounce,"Advocacy snapshot generated","Advocacy snapshot generated"
es,justiceService.generateError,"Unable to generate a local report.","Unable to generate a local report."
es,justiceService.errorTitle,"Generation failed","Generation failed"
es,justiceService.errorBody,"Could not build snapshot.","Could not build snapshot."
es,justiceService.generate,"Generate","Generate"
es,justiceService.generating,"Generating...","Generating..."
es,justiceService.copy,"Copy","Copy"
es,justiceService.copyHint,"Copies the generated snapshot to the clipboard.","Copies the generated snapshot to the clipboard."
es,justiceService.share,"Share","Share"
es,justiceService.shareHint,"Opens the system share dialog with a snapshot text file.","Opens the system share dialog with a snapshot text file."
es,justiceService.shareUnavailable,"Share unavailable","Share unavailable"
es,justiceService.shareUnavailableBody,"System share sheet not available.","System share sheet not available."
es,justiceService.shareError,"Share failed","Share failed"
es,justiceService.shareErrorBody,"Could not share snapshot file.","Could not share snapshot file."
es,justiceService.reset,"Reset","Reset"
es,justiceService.resetHint,"Clears the generated snapshot text.","Clears the generated snapshot text."
es,justiceService.resetAnnounce,"Snapshot cleared","Snapshot cleared"
es,justiceService.copied,"Copied","Copied"
es,justiceService.copiedBody,"Snapshot copied to clipboard.","Snapshot copied to clipboard."
es,justiceService.clipboardMissingTitle,"Clipboard not available","Clipboard not available"
es,justiceService.clipboardMissingMsg,"Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy."
es,justiceService.screenLabel,"Justice-as-a-Service screen","Justice-as-a-Service screen"
es,justiceService.howToUse,"How to use Justice-as-a-Service","How to use Justice-as-a-Service"
es,justiceService.toggleInfo,"Toggle instructions","Toggle instructions"
es,justiceService.infoTitle,"How to Use","How to Use"
es,justiceService.infoLine1,"Generate a local advocacy snapshot using only on-device cached data (notes and counts).","Generate a local advocacy snapshot using only on-device cached data (notes and counts)."
