"BrokenLink","Occurrences","ExampleFile","SuggestedFix","Status"
"/app-waitlist.html","34","_posts\2026-03-14-tutorial-how-to-use-the-evidence-locker-effectively.md","/app-waitlist","Ready"
"./AGENT-DEPLOYMENT-GUIDE.md","32","README-AGENTS.md","","Low Priority"
"/accessibility.html","31","roadmap.md","/accessibility","Ready"
"./README-AGENTS.md","26","docs\agents\AGENTS-DEPLOYMENT-INDEX.md","","Low Priority"
"./AUTONOMOUS-AGENTS-DEPLOYMENT-STATUS.md","20","README-AGENTS.md","","Low Priority"
"LINK","14","blog\2026-04-08-social-media-posts.md","","Manual"
"./DEPLOY-AGENTS-NOW.md","14","README-AGENTS.md","","Low Priority"
"/guides/wsiat-complete-guide/","12","how-to-use-this-data.md","/guides/wsiat-complete-guide","Ready"
"docs\COMPREHENSIVE-PARSING-SUMMARY-2026-04-30.md","12","docs\ONTARIO-CONTENT-AUDIT.md","","Manual"
"/_posts/2026-04-14-security-fortress-complete-24-vulnerabilities-eliminated.html","12","docs\ONTARIO-CONTENT-AUDIT.md","/2026/04/14/security-fortress-complete-24-vulnerabilities-eliminated","Ready"
"/roadmap.html","11","accessibility.md","/roadmap","Ready"
"url","10","docs\blog-automation\CURATION-DUPLICATE-FIX-COMPLETE.md","","Manual"
"/_posts/2026-04-29-bc-wcat-data-unknown-outcomes-systemic-patterns.html","10","docs\ONTARIO-CONTENT-AUDIT.md","/2026/04/29/bc-wcat-data-unknown-outcomes-systemic-patterns","Ready"
"/docs/WSIAT-DEEP-DIVE-REPORT-2026-04-29.html","10","guides\index.md","/docs/WSIAT-DEEP-DIVE-REPORT-2026-04-29","Ready"
"scripts/viral-hooks-config.js","10","COMMUNITY_ENGAGEMENT_STRATEGY.md","","Low Priority"
"{{ '/user-guide' | relative_url }}","10","ar\index.md","/user-guide","Ready"
"/fr/contact/","10","fr\accessibility.md","","Manual - Need to create page first"
"/about/","9","_posts\2026-02-02-six-months-endless-rebuilds-zero-half-measures.md","/about","Ready"
"/templates/chronic-pain-appeal/","9","data\knowledge-base\chronic-pain-claims.md","/templates/chronic-pain-appeal","Ready"
"blog\2026-04-08-social-media-posts.md","8","docs\ONTARIO-CONTENT-AUDIT.md","","Manual"
