"key","en","es","fr","status"
"nav.home","Home","Inicio","Accueil","ok"
"nav.campaigns","Campaigns","Campañas","Campagnes","ok"
"nav.community","Community Hub","Comunidad","Communauté","ok"
"nav.advocacy","Advocacy","Defensa","Défense","ok"
"nav.podcasts","Podcasts & Stories","Podcasts y relatos","Balados et récits","ok"
"nav.resources","Resources","Recursos","Ressources","ok"
"nav.events","Events","Eventos","Événements","ok"
"nav.wellness","Wellness","Bienestar","Bien-être","ok"
"nav.profile","Profile","Perfil","Profil","ok"
"nav.saved","Saved","Guardado","Enregistré","ok"
"nav.settings","[T] nav.settings","[T] nav.settings","[T] nav.settings","tagged"
"wellness.tools.symptom","Symptom & Pain Tracker (exportable report)","Symptom & Pain Tracker (exportable report)","Symptom & Pain Tracker (exportable report)","untranslated"
"wellness.tools.sleep","Sleep & Energy Tracker (legal/medical summary)","Sleep & Energy Tracker (legal/medical summary)","Sleep & Energy Tracker (legal/medical summary)","untranslated"
"wellness.tools.selfcare","Accessible Self‑Care Library","Accessible Self‑Care Library","Accessible Self‑Care Library","untranslated"
"wellness.tools.work_balance","Wellness + Work Balance AI","Wellness + Work Balance AI","Wellness + Work Balance AI","untranslated"
"wellness.tools.grief","Grief + Identity Support Hub","Grief + Identity Support Hub","Grief + Identity Support Hub","untranslated"
"wellness.tools.adaptive_meditation","Adaptive Meditation & Relaxation","Adaptive Meditation & Relaxation","Adaptive Meditation & Relaxation","untranslated"
"wellness.tools.rehab_games","Virtual Rehab Games (gentle movement)","Virtual Rehab Games (gentle movement)","Virtual Rehab Games (gentle movement)","untranslated"
"wellness.tools.daily_planner","Adaptive Daily Planner","Adaptive Daily Planner","Adaptive Daily Planner","untranslated"
"wellness.rehab.subtitle","Fun, accessible mini-games to encourage gentle movement and physio-style exercises. Always adapt to comfort and stop if pain increases.","Fun, accessible mini-games to encourage gentle movement and physio-style exercises. Always adapt to comfort and stop if pain increases.","Fun, accessible mini-games to encourage gentle movement and physio-style exercises. Always adapt to comfort and stop if pain increases.","untranslated"
"wellness.rehab.title","Virtual Rehab Games","Virtual Rehab Games","Virtual Rehab Games","untranslated"
"wellness.achievements.subtitle","Earn badges as you build healthy routines.","Earn badges as you build healthy routines.","Earn badges as you build healthy routines.","untranslated"
"wellness.achievements.title","Achievements","Achievements","Achievements","untranslated"
